_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
0.052,0.591,0.2792661472731841,0.5571615488408226,0.6476291203948529,0.7096476664821989,0.7050561797752809,0.6205648081100652,0.46158812136862504,0.6029154518950437,0.5209024552090246,0.41644021739130427,0.646551724137931,0.6622390891840607,0.7757390417940877,0.8408796895213454,0.7491349480968859,0.012978255951797754,0.7664562669071235,0.08459096916806434,0.028,0.42387218045112784,0.09015156272669977,0.1427831044311998,0.082,0.173,0.10908046963307136,0.29579523388509155,0.43281982585398526,0.1341512168307431,0.03,0.806,0.496,0.0,0.047,0.03,0.314,0.038,0.024,0.951,0.426,1.0,0.008,0.101,0.316,0.261,0.4167812929848694,0.19725517562223774,0.593,0.97
0.125,0.439,0.15581804473485794,0.6402802197053331,0.6583818085668958,0.7378712414683638,0.6641252006420546,0.7360608254887762,0.6778566817301486,1.0,0.3536828135368281,0.326086956521739,0.4862068965517241,0.7893738140417458,0.8114169215086647,0.6041397153945666,0.559688581314879,0.08615185900865524,0.8034265103697025,0.01847508201827831,0.015,0.3627819548872181,0.027672717456975207,0.1427831044311998,0.051,0.117,0.06134150307583605,0.29303917257239037,0.5015405224380443,0.1670747755401196,0.025,0.765,0.0,0.142,0.137,0.076,0.112,0.0,0.12,0.0,0.002,1.0,0.0,0.984,0.285,0.211,0.27922971114167816,0.7390090718771808,0.702,0.967
0.046,0.639,0.35174667001759224,0.9531695083888728,0.43222280980081085,0.8092602840804279,0.5505617977528089,0.7114409847936278,0.5041962556488058,0.6157434402332361,0.45786330457863306,0.5224184782608695,0.4387931034482759,0.11574952561669839,0.5147808358817534,0.7723156532988357,0.6557093425605537,0.009983056785672672,0.6753832281334536,0.17875565673487046,0.033,0.17575187969924816,0.9313024290126101,0.1427831044311998,0.299,0.496,0.7573508084464459,0.998619025654126,0.06858673811118554,0.003631336098479169,0.091,0.897,0.412,0.245,0.526,0.095,0.519,0.001,0.563,0.282,0.184,0.746,0.016,1.0,0.413,0.299,0.5763411279229712,0.34775529192835547,0.692,0.963
0.135,0.603,0.34491078160341787,0.12066756620463127,0.44385686585580825,0.92897989300867,0.5947030497592295,0.7194062273714699,0.3260167850225953,0.6174927113702623,0.6522893165228931,0.669836956521739,0.5508620689655173,0.6755218216318786,0.6401630988786953,0.8576972833117723,0.6626297577854671,0.0904876906496335,0.6672678088367899,0.14353207042249294,0.029,0.36560150375939854,0.551578657182694,0.24242031614407877,0.121,0.319,0.3995669358486649,0.7499758105513095,0.1740120562625586,0.023736944680425774,0.053,0.84,0.307,0.278,0.281,0.208,0.733,0.002,0.276,0.436,0.038,1.0,0.161,0.757,0.422,0.265,0.44979367262723524,0.0388462433123982,0.743,0.968
0.066,0.591,0.3110831867303342,0.2767169590165051,0.510135730653975,0.6847445120826416,0.6757624398073835,0.6270818247646632,0.5990961910910266,0.7002915451895043,0.6901128069011281,0.514266304347826,0.33275862068965517,0.3197343453510437,0.21508664627930685,0.16041397153945666,0.3719723183391003,0.011783561850426741,0.3669972948602346,0.09373145896651466,0.04,0.1719924812030076,0.22984542064995422,0.14718839077481213,0.208,0.279,0.24788049632880668,0.5191478044427698,0.31466845277963834,0.07243516066163612,0.046,0.83,0.091,0.0,0.022,0.396,0.011,0.0,0.135,0.635,0.004,0.404,1.0,0.001,0.345,0.261,0.5144429160935351,0.13049546406140963,0.674,0.957
0.137,0.51,0.2052777079668258,0.46176282182333617,0.3507844174158294,0.6275594908688433,0.4955858747993579,0.6042722664735698,0.23111684958037448,0.19650145772594751,0.5295288652952886,0.48301630434782605,0.5198275862068965,0.8652751423149906,0.6156982670744139,0.5536869340232858,0.5190311418685122,0.0637206949846957,0.509467989179441,0.2169224627528459,0.047,0.39003759398496246,0.39595874155587896,0.09095620627105469,0.164,0.437,0.37857010437820654,0.5790708282416036,0.21044876088412592,0.0382706178268619,0.052,0.864,0.09,0.009,1.0,0.0,0.0,0.455,0.0,0.875,0.064,0.391,0.102,0.0,0.28,0.24,0.8803301237964237,0.34775529192835547,0.662,0.958
0.123,0.533,0.196179944709726,0.6007823254419319,0.7489864269346026,0.8586976572588084,0.7259229534510432,0.721940622737147,0.33440929632020666,0.6513119533527697,0.6974120769741208,0.5271739130434783,0.45948275862068966,0.2428842504743834,0.4841997961264016,0.11125485122897792,0.38927335640138405,0.0860013039555198,0.7186654643823265,0.05811900079275163,0.052,0.24154135338345872,0.0,0.13850738533298781,0.157,0.102,0.057731646417103925,0.2645614081791564,0.5752176825184193,0.2116669165292423,0.023,0.744,0.085,0.007,0.0,0.0,0.471,0.0,0.137,0.042,0.0,1.0,0.0,0.143,0.21,0.174,0.657496561210454,0.58246103745057,0.691,0.966
0.103,0.575,0.17220407137471724,0.6327295525480094,0.5591397849462365,0.7446965504519462,0.45947030497592295,0.6897175959449674,0.48482892188508725,0.8513119533527697,0.6197743861977438,0.44836956521739124,0.5431034482758621,0.7077798861480076,0.3934760448521917,0.4230271668822768,0.4731833910034603,0.07500334709274857,0.7844905320108205,0.10964685699153921,0.021,0.5206766917293234,0.6781261948450575,0.23801502980046643,0.123,0.328,0.45302514589960924,0.8034728881075452,0.15244474212993972,0.01654923125614246,0.055,0.856,0.238,0.929,0.298,0.0,0.227,0.0,0.359,0.0,0.128,1.0,0.03,0.746,0.366,0.267,0.3081155433287483,0.09257966969062573,0.711,0.965
0.145,0.542,0.16416184971098263,0.2300909078518761,0.649920676890534,0.7441431470208449,0.5770465489566612,0.7947139753801593,0.45965138799225314,0.517201166180758,0.49104180491041804,0.3783967391304347,0.5801724137931035,0.34819734345351044,0.7104994903160041,0.5084087968952133,0.7759515570934257,0.18901891966618328,0.8160504959422904,0.08435784615682208,0.022,0.33082706766917297,0.06564272201486332,0.19046385073853328,0.163,0.157,0.08974322304392825,0.21228301808551642,0.38807769591426655,0.1110555860943148,0.011,0.775,0.563,0.0,1.0,0.0,0.0,0.159,0.0,0.532,0.0,0.15,0.91,0.0,0.322,0.21,0.43466299862448415,0.051407304024191657,0.796,0.97
0.129,0.618,0.25574264890676046,0.3048615938177209,0.3516657852987837,0.7799299022320605,0.5646067415730336,0.5503258508327299,0.395739186571982,0.5743440233236151,0.7186463171864631,0.48709239130434784,0.4155172413793103,0.6337760910815939,0.5056065239551478,0.5808538163001293,0.546712802768166,0.05491694336821661,0.6402164111812444,0.22582415988169754,0.037,0.34962406015037595,0.5187523532062966,0.13423166623477586,0.223,0.408,0.433405899121901,0.6937480130095718,0.1620897521768252,0.023112288241467202,0.049,0.876,0.497,0.0,0.085,0.465,0.0,0.511,0.0,1.0,0.127,0.018,0.385,0.0,0.388,0.34,0.5598349381017882,0.34775529192835547,0.627,0.965
